text,category
Apple announces new iPhone with advanced features,TECH
Tesla stock rises after earnings report,BUSINESS
New COVID variant detected in laboratory,HEALTH
Federal Reserve announces interest rate decision,BUSINESS
Climate change summit reaches new agreements,ENVIRONMENT
SpaceX successfully launches satellite mission,SCIENCE
New movie breaks box office records,ENTERTAINMENT
Scientists discover new species in Amazon,SCIENCE
Olympic games begin with opening ceremony,SPORTS
Tech companies face antitrust investigations,BUSINESS
